CustomerID,Gender,Age,Annual_Income,Spending_Score
212,Male,53,20235,99
213,Male,27,62929,42
214,Male,54,87444,34
215,Male,26,28567,30
216,Male,41,90792,13
217,Female,52,85441,13
218,Male,66,104555,18
219,Female,52,93698,32
220,Male,65,25415,96
221,Male,53,56159,99
222,Male,35,63925,39
223,Female,66,25951,46
224,Female,56,107388,29
225,Female,49,28007,62
226,Female,41,61832,93
227,Male,40,78596,62
228,Female,49,50523,57
229,Male,54,108861,16
230,Male,29,106740,56
231,Female,66,35524,10
232,Female,30,39282,30
233,Female,40,43930,25
234,Female,42,20077,84
235,Female,52,40611,5
236,Female,58,36984,65
237,Female,47,34060,94
238,Female,34,102985,49
239,Male,66,104056,3
240,Female,37,63303,45
241,Female,65,79207,14
242,Male,42,95046,30
243,Female,39,49287,68
244,Male,30,113709,18
245,Male,36,59711,62
246,Female,66,31954,37
247,Male,53,93340,25
248,Male,29,92101,48
249,Male,58,91520,65
250,Male,36,107062,53
251,Female,29,38574,79
252,Male,26,29184,73
253,Female,24,39096,15
254,Male,45,87728,49
255,Male,31,54016,88
256,Male,48,31246,68
257,Male,69,65558,12
258,Female,36,38381,59
259,Female,64,56455,37
260,Male,33,112263,61
261,Male,22,24018,43
262,Female,52,31302,70
263,Male,29,87506,39
264,Male,42,61157,56
265,Male,69,74917,63
266,Female,38,112738,46
267,Female,53,116646,88
268,Female,40,103122,11
269,Male,33,44519,62
270,Male,56,116809,77
271,Female,62,107487,98
272,Female,59,76819,25
273,Female,56,100910,71
274,Female,31,91324,52
275,Male,48,25408,4
276,Female,22,79379,59
277,Male,52,45053,72
278,Female,40,29446,20
279,Male,46,20922,93
280,Female,60,118723,63
281,Female,28,71356,54
282,Female,35,30789,74
283,Female,64,117720,98
284,Male,29,86656,57
285,Female,26,64028,90
286,Male,27,84484,41
287,Male,61,52154,3
288,Male,34,102870,6
289,Male,55,22336,5
290,Female,24,87779,5
291,Male,63,39029,54
292,Male,30,79201,47
293,Male,57,52265,87
294,Female,59,63872,49
295,Female,26,66197,9
296,Female,67,75180,99
297,Female,44,43710,20
298,Male,19,49486,61
299,Male,22,91907,35
300,Female,46,91895,50
301,Male,54,84435,82
302,Male,55,60631,62
303,Male,36,40103,17
304,Female,25,84772,88
305,Female,65,34382,3
306,Male,62,104291,32
307,Female,18,23756,99
308,Female,39,40609,13
309,Female,69,36478,89
310,Female,34,59666,73
311,Female,24,95683,68
312,Male,42,119097,14
313,Female,62,91315,98
314,Male,21,97834,11
315,Male,53,34153,56
316,Female,23,96325,67
317,Male,48,32999,92
318,Male,36,75318,29
319,Male,61,20814,9
320,Female,56,96077,67
321,Female,44,110474,25
322,Male,27,22443,98
323,Female,43,95993,76
324,Female,36,95916,42
325,Female,56,93319,9
326,Female,20,37368,79
327,Male,62,35328,40
328,Male,30,76942,25
329,Female,67,111751,5
330,Female,45,119131,11
331,Male,37,47306,59
332,Male,45,105451,98
333,Female,25,59915,88
334,Male,58,57219,79
335,Female,56,100879,38
336,Female,18,84644,72
337,Male,20,80279,5
338,Male,30,73028,48
339,Female,45,20126,90
340,Female,66,72329,18
341,Male,42,47632,70
342,Female,50,85310,37
343,Male,55,75176,60
344,Female,23,106066,48
345,Male,61,64327,77
346,Male,62,88904,28
347,Male,49,23797,69
348,Female,62,67882,77
349,Female,64,33718,81
350,Male,38,54560,40
351,Female,33,96589,45
352,Male,38,42116,96
353,Male,28,56244,62
354,Female,54,21645,93
355,Female,53,67523,58
356,Male,52,39256,67
357,Female,36,73173,56
358,Female,37,57430,40
359,Male,35,59282,98
360,Male,64,83374,40
361,Female,58,88244,91
362,Male,66,31694,77
363,Male,31,76264,33
364,Female,32,95060,6
365,Male,48,117416,88
366,Male,18,77545,19
367,Female,20,59224,80
368,Female,33,117945,40
369,Male,40,33224,92
370,Male,28,60738,97
371,Female,29,45150,59
372,Female,27,83731,59
373,Female,49,69688,48
374,Female,33,119929,41
375,Male,25,93509,13
376,Female,55,28577,45
377,Female,29,28070,89
378,Male,41,28666,53
379,Female,45,77761,42
380,Male,25,56368,100
381,Female,45,26783,63
382,Female,53,61914,27
383,Female,43,90507,38
384,Male,25,99026,60
385,Male,67,87526,7
386,Female,45,90835,5
387,Male,45,65765,45
388,Male,54,39956,58
389,Male,58,107895,31
390,Male,53,66240,23
391,Male,44,57148,42
392,Male,34,114270,10
393,Female,26,24757,32
394,Female,50,39097,53
395,Male,37,30395,30
396,Female,30,36241,39
397,Female,45,47696,31
398,Female,65,90480,82
399,Female,46,66163,100
400,Male,30,39816,2
401,Female,63,69840,78
402,Female,52,72853,77
403,Male,23,44917,93
404,Male,35,116731,12
405,Female,68,41566,39
406,Female,22,95452,66
407,Female,64,82823,96
408,Female,42,40806,13
409,Female,19,95520,46
410,Female,27,21759,27
411,Male,47,61949,17
412,Female,67,112374,95
413,Female,62,22482,98
414,Male,22,44442,60
415,Male,50,53719,64
416,Male,18,78066,88
417,Male,35,113501,35
418,Female,49,22079,70
419,Female,64,22717,83
420,Female,66,79676,30
421,Female,28,47952,71
422,Female,38,106444,74
423,Female,43,62460,96
424,Male,42,110397,98
425,Female,39,92847,63
426,Male,44,113607,28
427,Male,66,109106,60
428,Female,30,38449,79
429,Male,50,53536,94
430,Female,51,84077,37
431,Male,58,58258,93
432,Female,52,68302,22
433,Male,18,48865,68
434,Female,38,26645,20
435,Female,65,58000,96
436,Female,23,46737,100
437,Female,45,31485,68
438,Female,34,58565,91
439,Male,22,45522,64
440,Male,48,85155,17
441,Male,22,75168,12
442,Female,55,72487,22
443,Male,20,32342,17
444,Female,40,60806,10
445,Female,54,68770,65
446,Male,54,98623,22
447,Male,27,119785,90
448,Female,27,95629,82
449,Male,36,72603,50
450,Female,34,101974,14
451,Female,38,46399,64
452,Female,31,105382,47
453,Female,26,101244,29
454,Female,63,96534,76
455,Male,18,75106,36
456,Male,68,50678,99
457,Female,62,96218,52
458,Female,30,83230,76
459,Male,21,94055,7
460,Male,18,76373,29
461,Female,66,51480,11
462,Male,57,105230,33
463,Female,49,88836,6
464,Male,51,92258,79
465,Female,45,59986,32
466,Male,48,44160,51
467,Female,25,105595,75
468,Male,56,99111,58
469,Male,43,84929,87
470,Female,51,93506,26
471,Male,20,54911,98
472,Female,67,107127,46
473,Male,29,51821,98
474,Female,18,95039,29
475,Male,61,80535,4
476,Female,22,104458,81
477,Male,47,32175,99
478,Female,47,74771,13
479,Male,34,106925,39
480,Female,65,86358,15
481,Female,64,37327,29
482,Female,40,67057,29
483,Male,32,26150,75
484,Female,54,24425,32
485,Male,38,36032,2
486,Female,31,22198,47
487,Male,19,80500,78
488,Female,28,73394,84
489,Male,68,40079,22
490,Male,56,56220,75
491,Female,55,61874,27
492,Male,51,33859,67
493,Male,55,70460,81
494,Female,67,51419,56
495,Male,51,28705,92
496,Male,35,62880,93
497,Male,47,43236,21
498,Female,32,107955,47
499,Male,44,105514,80
500,Female,68,35358,59
